food_code,food_name,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,image_url,,,,,,,,,,,,
ASC277,Boondi raita,2831.04,687.72,3.96,2.19,73.83,1.88,0.46,2.51,49.00,47.88,7.40,99.18,79.71,0.24,0.02,0.61,0.00,0.07,0.00,0.23,6.39,36.03,0.01,0.00,5.21,0.00,11.50,0.03,0.07,0.14,0.16,0.04,0.91,11.50,0.24,33.47,bowl,,,,,,,,,,,,,
ASC278,Sweet raita (Meetha raita),418.63,99.24,17.93,3.24,1.78,15.36,1.02,5.73,108.91,94.58,16.72,42.98,233.29,0.21,0.03,1.16,0.00,0.07,0.44,0.42,14.58,0.08,0.41,0.00,1.29,0.00,12.97,0.04,0.15,0.24,0.34,0.14,1.68,12.97,2.71,111.20,bowl,,,,,,,,,,,,,
ASC279,Dahi vadas/Dahi bhalla,2748.73,667.73,5.49,2.96,70.40,1.78,0.97,2.39,49.03,65.23,17.84,79.00,152.37,0.49,0.06,2.18,0.00,0.14,0.01,0.38,6.10,34.32,0.66,0.00,6.15,0.00,10.63,0.03,0.07,0.19,0.33,0.04,0.65,10.63,0.33,80.60,vada,,,,,,,,,,,,,
ASC280,Gunjia,2747.77,667.34,5.68,2.98,70.28,2.05,1.13,2.36,48.16,65.47,17.83,77.90,154.16,0.50,0.06,2.15,0.00,0.13,0.01,0.38,6.01,33.88,0.62,0.00,5.60,0.00,10.91,0.03,0.07,0.19,0.32,0.04,0.63,10.91,0.29,42.55,gunjia,,,,,,,,,,,,,
ASC281,Saunth/Sonth chutney with tamarind/imli,592.16,141.53,33.55,1.01,0.15,31.31,0.93,0.00,54.74,38.95,46.27,244.38,267.27,2.71,0.10,0.30,0.01,0.29,0.05,0.23,0.00,0.03,3.79,0.00,0.95,0.00,5.61,0.06,0.02,0.27,0.09,0.22,0.26,5.61,0.54,83.59,teaspoon,,,,,,,,,,,,,
ASC282,Rice kheer (Chawal ki kheer),315.33,75.03,10.05,2.30,2.97,8.02,0.17,0.00,75.57,65.41,7.33,16.24,83.08,0.17,0.04,0.65,0.00,0.08,0.03,0.25,0.00,0.21,0.07,0.00,0.08,0.00,4.87,0.02,0.07,0.13,0.23,0.03,1.26,4.87,1.26,127.08,bowl,,,,,,,,,,,,,
ASC283,Makhana kheer,452.85,107.85,12.88,3.31,5.00,11.54,0.11,1.77,111.64,100.56,13.39,23.40,139.35,0.28,0.05,0.90,0.00,0.13,0.02,0.34,6.63,0.34,0.09,0.00,0.05,0.00,8.55,0.04,0.10,0.12,0.33,0.05,1.80,8.55,1.82,195.00,bowl,,,,,,,,,,,,,
ASC285,Vermicelli kheer (Semiya/Seviyan ki kheer),504.28,120.07,15.87,3.35,5.00,12.79,0.50,2.12,104.80,90.34,10.67,22.52,116.57,0.30,0.05,1.46,0.00,0.06,0.03,0.35,7.93,0.36,0.16,0.00,0.09,0.00,7.01,0.03,0.10,0.12,0.32,0.04,1.78,7.01,1.74,190.27,bowl,,,,,,,,,,,,,
ASC286,Semolina kheer (Suji/Rava kheer),476.14,113.21,15.88,3.43,4.20,12.88,0.51,0.00,105.99,91.64,10.71,22.66,122.23,0.34,0.06,1.33,0.00,0.11,0.03,0.40,0.00,0.32,0.37,0.00,0.10,0.00,7.61,0.04,0.10,0.14,0.33,0.04,1.75,7.61,1.76,186.81,bowl,,,,,,,,,,,,,
ASC287,Paneer kheer,441.91,105.31,10.03,4.53,5.37,9.87,0.07,0.00,144.66,114.02,10.91,23.81,112.75,0.26,0.05,2.84,0.01,0.03,0.02,0.54,0.00,0.29,0.03,0.00,0.04,0.00,14.45,0.03,0.10,0.10,0.34,0.04,3.54,14.45,1.75,190.50,bowl,,,,,,,,,,,,,
ASC288,Cabbage kheer (Pattagobhi ki kheer),350.89,83.51,9.73,2.87,3.80,9.28,0.51,0.00,102.74,83.04,10.99,22.67,136.05,0.24,0.04,0.94,0.00,0.05,0.02,0.31,0.00,0.29,0.05,0.00,17.81,0.00,13.17,0.03,0.10,0.12,0.31,0.05,1.79,13.17,6.82,201.26,bowl,,,,,,,,,,,,,
ASC289,Carrot kheer (Gajar ki kheer),358.60,85.35,10.09,2.81,3.85,9.63,0.73,0.00,100.12,85.07,10.80,28.54,142.34,0.28,0.05,0.81,0.00,0.06,0.02,0.32,0.00,0.32,0.23,0.00,2.93,0.00,9.66,0.03,0.09,0.12,0.32,0.05,1.81,9.66,2.57,1632.53,bowl,,,,,,,,,,,,,
ASC290,Cauliflower kheer (Phoolgobhi ki kheer),344.14,81.95,8.78,3.04,3.95,8.49,0.55,0.00,101.75,87.52,11.22,25.19,145.20,0.30,0.04,0.86,0.00,0.05,0.02,0.33,0.00,0.28,0.19,0.00,1.92,0.00,12.11,0.03,0.10,0.12,0.36,0.05,1.96,12.11,7.86,171.81,bowl,,,,,,,,,,,,,
ASC291,Moong dal kheer,324.23,77.16,9.89,2.95,2.97,7.92,0.40,0.00,75.66,76.45,11.91,16.34,123.56,0.28,0.06,2.46,0.00,0.05,0.05,0.31,0.00,0.22,0.09,0.00,0.34,0.00,7.97,0.03,0.07,0.13,0.27,0.03,1.25,7.97,1.25,146.93,bowl,,,,,,,,,,,,,
ASC292,Phirni,487.80,116.12,16.11,3.49,4.34,10.79,0.36,0.00,104.57,96.30,11.53,22.47,114.51,0.23,0.06,0.93,0.00,0.08,0.03,0.39,0.00,0.39,0.01,0.00,0.17,0.00,7.01,0.04,0.10,0.27,0.34,0.05,1.75,7.01,1.74,175.60,bowl,,,,,,,,,,,,,
ASC293,Semolina halwa (Suji ka halwa),940.23,225.65,24.67,2.16,13.38,13.98,1.86,30.82,11.77,27.64,13.08,1.28,70.46,0.65,0.11,1.83,0.00,0.48,0.05,0.42,115.52,1.21,1.46,0.00,0.37,0.00,4.99,0.05,0.01,0.25,0.13,0.02,0.13,4.99,0.03,279.71,bowl,,,,,,,,,,,,,
ASC294,Shahi suji halwa,1595.02,382.34,44.44,3.48,21.73,27.21,2.96,50.05,18.64,43.89,20.88,2.18,99.83,0.98,0.18,2.94,0.00,0.77,0.07,0.69,187.59,1.96,2.35,0.00,0.58,0.00,7.58,0.08,0.02,0.40,0.21,0.03,0.21,7.58,0.02,451.42,bowl,,,,,,,,,,,,,
ASC295,Carrot halwa (Gajar ka halwa),722.36,172.64,18.53,3.11,9.73,16.85,2.65,14.66,106.94,98.65,22.98,39.96,249.93,0.76,0.10,5.73,0.02,0.24,0.03,0.54,54.94,0.72,0.93,0.00,11.04,0.00,26.70,0.05,0.04,0.22,0.26,0.08,3.56,26.70,3.89,5740.77,bowl,,,,,,,,,,,,,
ASC296,Egg halwa (Ande ka halwa),1262.47,299.74,39.59,7.85,13.41,37.85,0.49,204.93,35.77,96.90,7.93,83.04,119.03,1.45,0.06,21.01,0.00,0.21,0.01,0.69,159.92,1.14,0.23,0.44,0.04,7.57,25.57,0.03,0.10,0.06,0.76,0.08,9.48,25.57,0.00,187.68,bowl,,,,,,,,,,,,,
ASC297,Potato halwa (Aloo ka halwa),637.97,151.66,29.18,1.53,3.48,17.42,1.64,6.23,14.15,41.83,25.15,4.23,451.73,0.63,0.11,0.70,0.00,0.27,0.04,0.30,23.34,0.56,0.33,0.00,1.83,0.00,13.11,0.05,0.01,0.88,0.31,0.08,1.12,13.11,18.34,214.71,bowl,,,,,,,,,,,,,
ASC298,Pumpkin halwa (Kaddu ka halwa),800.80,190.27,27.60,1.33,8.81,26.64,2.97,9.52,24.34,35.10,19.35,8.09,235.46,0.63,0.15,1.97,0.00,0.31,0.06,0.25,35.68,1.37,1.08,0.00,54.33,0.00,17.99,0.03,0.03,0.37,0.14,0.06,1.17,17.99,5.21,1021.15,bowl,,,,,,,,,,,,,
ASC299,Moong dal halwa,1461.34,349.80,40.23,8.35,17.68,25.59,2.65,34.81,110.40,172.44,46.78,11.19,386.87,1.51,0.28,18.24,0.02,0.44,0.14,1.05,130.49,1.04,1.02,0.00,1.91,0.00,36.19,0.11,0.05,0.54,0.45,0.06,3.42,36.19,0.03,442.28,bowl,,,,,,,,,,,,,
ASC300,Caramel custard (steamed),512.20,121.58,15.02,4.97,4.87,14.98,0.00,78.88,88.12,102.44,8.22,43.57,105.29,0.51,0.05,9.33,0.00,0.01,0.00,0.49,42.67,0.47,0.00,0.18,0.00,3.15,15.17,0.03,0.11,0.08,0.54,0.06,5.21,15.17,1.30,158.41,bowl,,,,,,,,,,,,,
ASC301,Baked custard,447.46,106.53,9.45,5.41,5.30,9.42,0.00,85.92,95.32,111.51,8.82,47.13,114.36,0.54,0.04,10.16,0.00,0.01,0.00,0.53,46.48,0.51,0.00,0.20,0.00,3.43,16.53,0.04,0.12,0.08,0.58,0.07,5.68,16.53,1.42,172.54,bowl,,,,,,,,,,,,,
ASC302,Soft Custard (stirred),459.08,109.18,11.19,5.01,5.07,11.15,0.00,73.35,95.82,106.83,8.73,122.17,111.75,0.49,0.04,8.79,0.00,0.01,0.00,0.49,39.68,0.46,0.00,0.17,0.00,2.93,14.96,0.03,0.12,0.08,0.54,0.06,5.08,14.96,1.45,171.34,bowl,,,,,,,,,,,,,
ASC304,Chocolate ice cream,743.06,177.70,15.41,4.47,11.25,15.33,0.00,68.26,84.24,97.52,13.63,36.79,118.05,0.47,0.08,6.08,0.00,0.05,0.00,0.49,125.74,0.54,0.00,0.11,0.15,1.97,11.79,0.03,0.14,0.11,0.45,0.05,4.35,11.79,1.10,151.62,ice-cream cup,,,,,,,,,,,,,
ASC305,Mango ice cream,525.33,125.69,11.14,3.40,7.62,11.01,0.52,55.21,67.17,71.52,9.60,29.13,115.29,0.39,0.05,5.22,0.01,0.07,0.00,0.35,101.48,0.43,1.02,0.09,1.31,1.60,31.20,0.03,0.11,0.13,0.37,0.07,3.75,31.20,9.86,506.30,ice-cream cup,,,,,,,,,,,,,
ASC307,Fruit Ice cream (Phalon ka Ice cream),717.81,171.46,16.05,4.37,10.38,14.03,0.33,17.12,93.35,70.28,6.73,38.78,119.98,0.36,0.03,0.67,0.00,0.01,0.00,0.26,90.58,0.25,0.00,0.00,0.00,0.00,4.85,0.02,0.11,0.07,0.25,0.03,1.80,4.85,1.25,145.99,ice-cream cup,,,,,,,,,,,,,
ASC308,Caramel ice cream,725.49,173.52,14.81,4.31,11.15,14.52,0.08,54.79,87.32,91.34,11.98,33.47,105.17,0.35,0.06,4.41,0.00,0.04,0.01,0.43,125.11,0.52,0.05,0.08,0.25,1.35,9.56,0.04,0.12,0.10,0.39,0.04,3.41,9.56,1.20,168.25,ice-cream cup,,,,,,,,,,,,,
ASC309,Lemon souffle,705.67,168.51,13.43,6.95,10.02,11.67,0.00,100.42,59.81,75.16,7.40,50.73,88.44,0.56,0.02,9.28,0.00,0.01,0.00,0.42,164.56,0.52,0.00,0.18,0.00,3.08,13.55,0.03,0.12,0.08,0.45,0.05,5.03,13.55,5.44,100.53,souffle cup,,,,,,,,,,,,,
ASC310,Orange souffle,704.69,168.28,14.20,6.80,9.73,12.31,0.22,97.54,59.04,73.80,8.23,49.22,101.26,0.65,0.03,8.90,0.00,0.01,0.00,0.40,159.84,0.51,0.06,0.17,0.44,2.99,15.55,0.04,0.12,0.11,0.46,0.05,5.39,15.55,7.85,214.64,souffle cup,,,,,,,,,,,,,
ASC311,Vanilla souffle,786.62,187.85,14.78,7.71,11.19,12.86,0.00,109.43,70.60,86.96,7.70,56.73,90.16,0.58,0.03,10.02,0.00,0.01,0.00,0.46,179.31,0.58,0.00,0.19,0.00,3.36,14.12,0.03,0.14,0.08,0.50,0.05,5.62,14.12,0.60,122.69,souffle cup,,,,,,,,,,,,,
ASC312,Chocolate souffle,792.69,189.32,14.74,7.88,11.36,12.69,0.00,108.18,71.55,94.96,14.67,56.07,109.25,0.71,0.08,9.90,0.00,0.01,0.00,0.55,177.27,0.58,0.00,0.19,0.02,3.32,14.48,0.03,0.14,0.10,0.49,0.05,5.55,14.48,0.59,121.84,souffle cup,,,,,,,,,,,,,
ASC313,Pineapple souffle ,821.36,196.14,15.52,8.06,11.72,13.45,0.00,117.82,67.23,86.45,7.64,59.17,88.17,0.61,0.03,10.72,0.00,0.01,0.00,0.48,193.07,0.61,0.00,0.21,0.00,3.62,14.68,0.03,0.14,0.08,0.51,0.05,5.90,14.68,0.50,117.25,souffle cup,,,,,,,,,,,,,
ASC314,Apple mousse,447.82,106.92,12.77,4.21,4.27,10.56,1.60,57.67,33.76,43.78,8.41,28.79,109.32,0.48,0.04,6.27,0.00,0.04,0.23,0.28,66.99,0.36,0.90,0.12,2.25,2.00,9.65,0.03,0.06,0.19,0.30,0.05,3.09,9.65,3.97,183.00,bowl,,,,,,,,,,,,,
ASC315,Rich chocolate mousse,785.94,188.26,10.84,7.96,12.19,10.30,0.00,111.71,54.59,97.37,26.66,51.71,128.77,0.97,0.18,10.32,0.00,0.02,0.00,0.68,167.28,0.63,0.00,0.20,0.22,3.47,15.03,0.03,0.11,0.13,0.45,0.05,5.23,15.03,0.33,105.19,cup,,,,,,,,,,,,,
ASC316,Mango mousse,520.63,124.98,9.14,3.21,8.47,8.89,0.88,23.66,51.38,40.02,10.48,19.62,113.71,0.35,0.05,1.27,0.01,0.11,0.01,0.20,125.16,0.33,1.69,0.00,3.31,0.00,39.67,0.03,0.10,0.16,0.19,0.07,1.94,39.67,15.32,844.68,cup,,,,,,,,,,,,,
ASC317,Orange and pineapple cream,422.92,101.18,11.96,1.44,5.43,11.37,1.03,15.43,35.00,29.62,8.47,10.17,114.98,0.41,0.03,0.08,0.01,0.22,0.00,0.12,81.63,0.23,0.15,0.00,1.25,0.00,11.85,0.04,0.07,0.15,0.18,0.05,1.96,11.85,22.32,290.68,bowl,,,,,,,,,,,,,
ASC318,Charlotte rousse,790.33,188.29,34.08,3.95,4.78,20.48,1.01,47.04,34.95,46.18,9.65,56.45,92.26,0.53,0.04,4.30,0.00,0.34,0.00,0.27,77.08,0.35,0.50,0.08,0.79,1.44,11.35,0.04,0.07,0.10,0.28,0.06,2.71,11.35,9.99,88.65,bowl,,,,,,,,,,,,,
ASC319,Triffle pudding,493.52,116.97,18.24,2.93,3.93,13.89,0.12,36.95,48.72,59.71,8.37,26.95,99.90,0.47,0.04,3.70,0.00,0.07,0.00,0.31,46.81,0.24,0.29,0.07,0.04,1.25,9.82,0.03,0.07,0.20,0.30,0.05,2.51,9.82,6.61,114.87,bowl,,,,,,,,,,,,,
ASC320,Snow flakes pudding,399.56,95.21,8.07,4.67,4.97,8.01,0.03,57.55,101.33,105.45,8.74,39.60,115.36,0.42,0.04,7.11,0.00,0.01,0.00,0.46,31.13,0.41,0.07,0.13,0.09,2.30,13.36,0.03,0.12,0.08,0.50,0.06,4.45,13.36,1.72,182.53,bowl,,,,,,,,,,,,,
ASC321,Kulfi,413.82,98.43,11.30,3.21,4.70,10.39,0.12,0.00,111.86,94.04,10.63,23.97,114.04,0.20,0.04,0.92,0.00,0.03,0.02,0.35,0.00,0.47,0.02,0.00,0.10,0.00,6.92,0.03,0.10,0.11,0.32,0.04,1.87,6.92,1.87,185.96,kulfi,,,,,,,,,,,,,
ASC322,Steamed orange pudding,1163.99,278.03,41.53,2.34,12.04,26.53,0.58,31.86,21.15,83.06,11.23,79.10,108.76,0.55,0.05,0.22,0.00,0.16,0.01,0.23,138.80,0.42,1.25,0.00,1.25,0.05,14.81,0.06,0.03,0.22,0.25,0.04,0.59,14.81,20.23,164.78,large slice,,,,,,,,,,,,,
ASC323,Meringue and rice pudding,474.30,112.93,14.60,4.84,4.05,10.87,0.17,40.85,85.43,92.81,8.94,44.16,110.88,0.37,0.04,6.81,0.00,0.04,0.01,0.41,22.10,0.32,0.00,0.17,0.07,1.63,11.02,0.04,0.11,0.18,0.52,0.05,3.71,11.02,1.35,151.09,bowl,,,,,,,,,,,,,
ASC324,Cheese pudding,1190.38,285.01,19.27,11.29,18.37,18.63,0.05,99.76,226.11,196.41,19.03,37.83,81.70,0.87,0.10,18.27,0.05,0.08,0.01,1.53,148.35,0.58,0.10,0.17,0.85,3.03,50.13,0.03,0.10,0.10,0.57,0.06,12.81,50.13,0.25,201.65,large slice,,,,,,,,,,,,,
ASC325,Chocolate pudding,891.10,211.96,29.59,3.55,9.48,20.68,0.53,46.25,64.56,77.36,12.04,171.36,79.22,0.60,0.09,4.53,0.00,0.09,0.00,0.39,98.78,0.35,0.00,0.06,0.66,1.10,10.91,0.05,0.06,0.33,0.19,0.03,1.84,10.91,0.45,109.02,large slice,,,,,,,,,,,,,
ASC326,Bread and butter pudding ,705.95,167.94,19.63,5.59,7.88,11.84,0.98,55.29,105.54,108.37,19.86,96.30,155.43,0.90,0.10,7.28,0.00,0.18,0.02,0.57,52.72,1.09,0.21,0.11,0.63,1.98,17.38,0.07,0.11,0.43,0.41,0.06,3.65,17.38,1.28,152.50,plate,,,,,,,,,,,,,
ASC327,Queen of pudding,558.58,132.92,16.35,5.51,5.38,11.77,0.27,60.59,78.26,84.35,9.24,85.59,107.57,0.53,0.05,9.55,0.00,0.05,0.00,0.42,50.24,0.38,0.00,0.24,0.15,2.24,14.32,0.05,0.10,0.21,0.53,0.05,4.17,14.32,2.49,125.60,large slice,,,,,,,,,,,,,
ASC328,Pineapple upside down pudding,1079.36,257.73,35.73,3.15,11.91,22.16,0.80,62.13,26.05,81.36,10.27,74.52,81.05,0.68,0.06,3.82,0.00,0.44,0.00,0.35,143.99,0.46,1.03,0.08,1.39,1.37,11.55,0.05,0.05,0.17,0.30,0.06,1.99,11.55,7.23,150.34,large slice,,,,,,,,,,,,,
ASC329,Date and nut pie,1348.65,322.42,46.86,3.93,13.31,31.18,4.13,18.85,34.69,77.21,40.61,3.87,291.15,1.54,0.29,1.85,0.01,0.74,0.40,0.75,84.78,0.60,6.32,0.00,9.91,0.00,14.26,0.09,0.04,0.63,0.35,0.13,1.54,14.26,2.83,935.38,bowl,,,,,,,,,,,,,
ASC330,Stewed apple with custard,392.17,92.87,18.36,1.27,1.82,15.46,1.01,0.00,49.24,38.25,6.11,16.66,82.79,0.18,0.04,0.51,0.00,0.05,0.30,0.17,0.00,0.13,0.51,0.00,1.34,0.00,3.60,0.02,0.04,0.12,0.15,0.03,0.82,3.60,1.98,151.63,piece,,,,,,,,,,,,,
ASC331,Apple snowballs,428.91,101.51,24.58,0.86,0.31,19.40,1.25,0.00,9.43,6.35,4.93,12.80,70.07,0.18,0.04,1.62,0.00,0.02,0.16,0.06,0.00,0.07,0.70,0.07,1.76,0.00,1.79,0.02,0.02,0.12,0.13,0.02,0.45,1.79,1.72,110.44,piece,,,,,,,,,,,,,
ASC332,Hot orange souffle,754.48,179.97,18.77,6.87,8.95,14.93,0.29,160.48,53.81,107.81,9.92,58.80,114.96,1.03,0.05,16.83,0.00,0.04,0.01,0.65,128.26,0.77,0.37,0.34,0.72,5.99,25.13,0.05,0.11,0.14,0.75,0.08,8.35,25.13,5.75,230.68,bowl,,,,,,,,,,,,,
ASC333,Hot chocolate souffle,948.77,226.09,26.21,6.70,11.10,22.88,0.12,138.51,60.19,116.29,17.64,54.11,125.67,1.08,0.12,14.96,0.00,0.10,0.00,0.73,111.78,0.83,0.28,0.30,0.60,5.14,21.55,0.04,0.11,0.14,0.69,0.08,7.40,21.55,0.64,149.60,bowl,,,,,,,,,,,,,
ASC334,Hot vanilla souffle,809.97,192.93,21.77,6.87,9.07,18.17,0.13,153.55,63.20,113.07,9.22,59.59,105.25,0.93,0.05,16.19,0.00,0.04,0.01,0.66,122.73,0.76,0.32,0.33,0.40,5.73,22.59,0.04,0.12,0.11,0.73,0.08,7.89,22.59,0.71,164.85,bowl,,,,,,,,,,,,,
ASC335,Plain burfi (Burfi),1705.52,408.32,30.88,9.82,27.96,30.43,0.17,38.12,355.78,284.64,38.12,31.65,325.37,1.50,0.07,25.91,0.07,0.08,0.02,1.43,142.89,1.25,0.09,0.00,0.11,0.00,54.97,0.07,0.07,0.30,0.22,0.04,11.85,54.97,0.12,409.40,burfi,,,,,,,,,,,,,
ASC336,Coconut burfi (Nariyal ki burfi),1956.59,467.64,32.15,8.81,34.63,31.50,3.50,29.26,272.81,254.63,47.20,27.63,401.32,1.82,0.24,25.37,0.06,0.39,0.01,1.36,109.67,2.03,0.05,0.00,0.63,0.00,46.87,0.06,0.06,0.35,0.19,0.06,9.20,46.87,0.00,344.06,burfi,,,,,,,,,,,,,
ASC337,Bottle gourd burfi (Ghiya/Lauki burfi),1153.35,275.96,24.51,5.86,17.68,23.92,0.73,26.43,215.85,170.71,24.42,18.15,229.64,0.93,0.06,16.20,0.04,0.07,0.00,0.88,99.07,0.64,0.30,0.00,0.73,0.00,47.22,0.05,0.04,0.20,0.31,0.03,7.95,47.22,1.50,299.01,burfi,,,,,,,,,,,,,
ASC338,Chocolate burfi,1425.19,339.33,33.15,13.00,17.86,32.38,0.00,3.78,466.48,381.58,57.02,39.32,449.04,2.12,0.15,34.59,0.09,0.06,0.00,1.98,14.18,0.13,0.09,0.00,0.03,0.00,73.38,0.09,0.09,0.37,0.25,0.05,15.68,73.38,0.00,175.74,burfi,,,,,,,,,,,,,
ASC339,Cashewnut burfi (Kaju burfi/Kaju katli),1763.94,421.74,37.92,5.48,28.46,31.43,1.12,38.62,12.95,145.64,89.83,4.23,186.05,1.79,0.68,3.80,0.00,0.52,0.01,1.58,144.73,1.37,1.12,0.00,0.53,0.00,7.33,0.18,0.01,0.30,0.41,0.05,0.75,7.33,0.00,297.37,burfi,,,,,,,,,,,,,
ASC340,Gram flour burfi (Besan burfi),1768.65,421.79,46.59,11.19,22.41,28.44,3.41,40.13,160.71,181.36,35.67,13.02,226.63,1.47,0.14,11.63,0.03,0.74,0.01,1.06,150.41,1.78,0.24,0.00,2.94,0.00,84.51,0.17,0.08,0.72,0.48,0.16,7.42,84.51,0.00,359.54,burfi,,,,,,,,,,,,,
ASC341,Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),1796.19,428.71,52.86,6.71,21.86,33.28,4.68,27.87,106.42,133.31,32.29,14.40,259.35,1.73,0.27,12.47,0.02,0.87,0.04,1.17,104.47,1.61,2.47,0.00,0.79,0.00,24.15,0.11,0.04,0.47,0.31,0.06,3.32,24.15,0.11,351.44,ladoo,,,,,,,,,,,,,
ASC342,Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),1942.70,464.43,50.90,5.68,27.03,27.32,6.69,33.81,26.72,90.08,34.77,9.06,264.85,1.83,0.36,9.07,0.01,1.14,0.04,1.08,126.74,2.13,2.96,0.00,1.03,0.00,14.32,0.11,0.03,0.54,0.33,0.07,0.51,14.32,0.14,402.22,ladoo,,,,,,,,,,,,,
ASC343,Gram flour ladoo (Besan ladoo),2001.49,476.91,62.61,8.93,22.76,37.76,4.43,52.34,25.35,88.26,26.77,5.48,142.26,1.51,0.15,2.26,0.00,0.89,0.06,0.74,196.17,2.15,0.80,0.00,3.32,0.00,70.32,0.18,0.06,0.76,0.49,0.17,3.03,70.32,0.00,430.12,ladoo,,,,,,,,,,,,,
ASC344,Sesame ladoo (Til ke ladoo),1660.91,396.96,43.50,10.70,19.64,38.63,7.72,0.00,631.82,376.60,221.36,18.55,430.91,8.94,0.71,12.15,0.01,1.12,0.11,3.74,0.00,0.59,28.73,0.00,48.18,0.00,66.09,0.18,0.04,1.80,0.32,0.60,1.84,66.09,0.00,34.34,ladoo,,,,,,,,,,,,,
ASC345,Chenna murki,1066.03,252.69,36.01,10.46,8.20,35.55,0.00,0.00,266.85,183.36,15.32,11.40,65.45,0.55,0.09,12.84,0.06,0.07,0.00,1.55,0.00,0.01,0.07,0.00,0.00,0.00,51.77,0.01,0.06,0.07,0.27,0.02,11.67,51.77,0.00,107.63,bowl,,,,,,,,,,,,,
ASC346,Milk cake,531.52,127.41,9.13,3.01,8.93,8.90,0.06,11.56,104.94,84.39,7.48,24.97,109.26,0.20,0.03,0.86,0.00,0.01,0.00,0.29,43.33,0.46,0.00,0.00,0.00,0.00,6.33,0.03,0.10,0.07,0.30,0.04,1.72,6.33,2.79,261.74,slice,,,,,,,,,,,,,
ASC347,Ghujia/Lavang latika,3168.67,768.98,13.00,1.86,78.93,6.08,0.52,4.62,31.01,36.13,7.25,3.28,54.27,0.44,0.04,2.51,0.01,0.09,0.01,0.22,17.32,37.19,0.64,0.00,4.88,0.00,6.44,0.02,0.01,0.10,0.09,0.01,1.03,6.44,0.01,72.62,gunjia,,,,,,,,,,,,,
ASC348,Gulab Jamun with khoya,2425.40,586.06,26.09,2.03,53.23,24.12,0.07,0.00,67.32,54.27,7.51,15.09,62.61,0.39,0.04,4.79,0.01,0.03,0.00,0.30,0.00,25.13,0.19,0.00,3.24,0.00,10.49,0.02,0.01,0.07,0.06,0.01,2.19,10.49,0.01,28.45,gulab jamun,,,,,,,,,,,,,
ASC349,Mal pua,2339.17,566.68,17.56,1.71,54.64,11.77,0.62,0.00,30.05,32.74,5.77,6.35,47.87,0.33,0.06,0.78,0.00,0.13,0.01,0.23,0.00,26.47,0.64,0.00,3.50,0.00,3.54,0.03,0.03,0.11,0.14,0.02,0.50,3.54,0.45,68.01,malqura,,,,,,,,,,,,,
ASC350,Shahi tukre,806.27,189.81,41.46,2.76,2.54,34.70,0.51,0.00,76.47,57.66,9.18,71.04,74.06,0.37,0.08,1.46,0.00,0.09,0.01,0.29,0.00,0.28,0.01,0.00,0.06,0.00,7.46,0.05,0.06,0.29,0.15,0.03,0.85,7.46,0.84,83.98,tukra,,,,,,,,,,,,,
ASC351,Potato pakora/pakoda (Aloo pakoda),2788.18,677.19,6.04,1.90,71.84,0.22,1.03,0.00,6.59,21.94,7.85,63.38,90.01,0.38,0.04,0.39,0.00,0.14,0.00,0.15,0.00,35.37,0.02,0.00,5.53,0.00,16.18,0.04,0.01,0.28,0.14,0.05,0.78,16.18,2.75,46.95,plate,,,,,,,,,,,,,
ASC352,Onion pakora/pakoda (Pyaaz ke pakode),2777.39,674.61,5.41,1.90,71.84,0.88,1.11,0.00,7.95,20.62,7.13,63.55,46.12,0.36,0.04,0.34,0.00,0.15,0.00,0.16,0.00,35.37,0.09,0.00,5.81,0.00,17.76,0.04,0.01,0.19,0.13,0.05,0.93,17.76,0.79,32.85,plate,,,,,,,,,,,,,
ASC353,Cauliflower pakora/pakoda (Phoolgobhi ke pakode),2764.93,671.63,4.52,1.98,71.86,0.23,1.26,0.00,8.44,22.40,7.73,66.54,64.86,0.42,0.03,0.35,0.00,0.15,0.00,0.15,0.00,35.36,0.16,0.00,6.98,0.00,19.79,0.04,0.02,0.19,0.17,0.05,0.92,19.79,5.59,28.27,plate,,,,,,,,,,,,,
ASC354,Mixed vegetable pakora/pakoda,2774.04,673.81,5.12,1.94,71.86,0.38,1.13,0.00,9.55,21.40,9.51,65.35,75.24,0.46,0.04,0.41,0.00,0.18,0.00,0.16,0.00,35.40,0.07,0.00,15.54,0.00,21.23,0.04,0.02,0.21,0.14,0.05,0.94,21.23,3.18,315.85,plate,,,,,,,,,,,,,
ASC355,Spinach pakora/pakoda (Palak pakoda),2933.57,712.62,4.68,1.96,76.38,0.20,1.02,0.00,10.99,19.90,10.79,69.54,66.87,0.52,0.04,0.45,0.00,0.20,0.00,0.15,0.00,37.67,0.02,0.00,26.10,0.00,24.19,0.05,0.02,0.19,0.11,0.05,0.92,24.19,1.91,625.92,plate,,,,,,,,,,,,,
